time,mouseX,mouseY,mouseClickAmount,uuid,uuidType,fps,drawCalls,entities,pointAmount,linesAmount,polyAmount,pointsAmount,voronoiTime,delaunayTime,M
0.000513378,243,165,0,0,-1,35048.4,0,0,0,0,0,0,0,0,0
0.00382277,243,165,0,0,-1,286.121,0,0,0,0,0,0,0,0,0
0.00576134,243,165,0,0,-1,614.835,0,0,0,0,0,0,0,0,0
0.00862425,243,165,0,0,-1,359.444,0,0,0,0,0,0,0,0,0
0.0110101,243,165,0,0,-1,416.052,0,0,0,0,0,0,0,0,0
0.0135204,243,165,0,0,-1,428.766,0,0,0,0,0,0,0,0,0
0.0154772,243,165,0,0,-1,484.489,0,0,0,0,0,0,0,0,0
0.0174356,243,165,0,0,-1,517.52,0,0,0,0,0,0,0,0,0
0.0192303,243,165,0,0,-1,564.559,0,0,0,0,0,0,0,0,0
0.0209785,243,165,0,0,-1,570.852,0,0,0,0,0,0,0,0,0
0.0226012,243,165,0,0,-1,580.674,0,0,0,0,0,0,0,0,0
0.0245082,243,165,0,0,-1,559.465,0,0,0,0,0,0,0,0,0
0.0262683,243,165,0,0,-1,570.828,0,0,0,0,0,0,0,0,0
0.028069,243,165,0,0,-1,545.827,0,0,0,0,0,0,0,0,0
0.0296837,243,165,0,0,-1,594.057,0,0,0,0,0,0,0,0,0
0.0316016,243,165,0,0,-1,553.073,0,0,0,0,0,0,0,0,0
0.0333842,243,165,0,0,-1,555.504,0,0,0,0,0,0,0,0,0
0.0351739,243,165,0,0,-1,562.626,0,0,0,0,0,0,0,0,0
0.0368838,243,165,0,0,-1,560.357,0,0,0,0,0,0,0,0,0
0.0387624,243,165,0,0,-1,535.277,0,0,0,0,0,0,0,0,0
0.0403768,243,165,0,0,-1,591.619,0,0,0,0,0,0,0,0,0
0.0423095,243,165,0,0,-1,551.183,0,0,0,0,0,0,0,0,0
0.0440229,243,165,0,0,-1,563.493,0,0,0,0,0,0,0,0,0
0.0458592,243,165,0,0,-1,556.365,0,0,0,0,0,0,0,0,0
0.0475044,243,165,0,0,-1,592.128,0,0,0,0,0,0,0,0,0
0.0493576,243,165,0,0,-1,567.496,0,0,0,0,0,0,0,0,0
0.0510908,243,165,0,0,-1,553.989,0,0,0,0,0,0,0,0,0
0.0529359,243,165,0,0,-1,564.023,0,0,0,0,0,0,0,0,0
0.0546579,243,165,0,0,-1,561.261,0,0,0,0,0,0,0,0,0
0.0564415,243,165,0,0,-1,574.849,0,0,0,0,0,0,0,0,0
0.0582356,243,165,0,0,-1,556.552,0,0,0,0,0,0,0,0,0
0.0600303,243,165,0,0,-1,560.266,0,0,0,0,0,0,0,0,0
0.0617827,243,165,0,0,-1,555.049,0,0,0,0,0,0,0,0,0
0.0635612,243,165,0,0,-1,578.52,0,0,0,0,0,0,0,0,0
0.0652998,243,165,0,0,-1,570.188,0,0,0,0,0,0,0,0,0
0.0671268,243,165,0,0,-1,547.826,0,0,0,0,0,0,0,0,0
0.0688662,243,165,0,0,-1,557.76,0,0,0,0,0,0,0,0,0
0.0706399,243,165,0,0,-1,564.87,0,0,0,0,0,0,0,0,0
0.0724147,243,165,0,0,-1,576.954,0,0,0,0,0,0,0,0,0
0.0742084,243,165,0,0,-1,554.389,0,0,0,0,0,0,0,0,0
0.0759647,243,165,0,0,-1,563.086,0,0,0,0,0,0,0,0,0
0.077733,243,165,0,0,-1,557.532,0,0,0,0,0,0,0,0,0
0.0794629,243,165,0,0,-1,584.72,0,0,0,0,0,0,0,0,0
0.0813129,243,165,0,0,-1,568.19,0,0,0,0,0,0,0,0,0
0.0830851,243,165,0,0,-1,554.173,0,0,0,0,0,0,0,0,0
0.0847063,243,165,0,0,-1,574.91,0,0,0,0,0,0,0,0,0
0.0865427,243,165,0,0,-1,583.856,0,0,0,0,0,0,0,0,0
0.0883068,243,165,0,0,-1,567.276,0,0,0,0,0,0,0,0,0
0.090098,243,165,0,0,-1,558.286,0,0,0,0,0,0,0,0,0
0.0918814,243,165,0,0,-1,554.877,0,0,0,0,0,0,0,0,0
0.0936391,243,165,0,0,-1,567.332,0,0,0,0,0,0,0,0,0
0.0954047,243,165,0,0,-1,574.721,0,0,0,0,0,0,0,0,0
0.0971991,243,165,0,0,-1,550.277,0,0,0,0,0,0,0,0,0
0.098831,243,165,0,0,-1,588.689,0,0,0,0,0,0,0,0,0
0.10061,243,165,0,0,-1,577.995,0,0,0,0,0,0,0,0,0
0.102396,243,165,0,0,-1,555.329,0,0,0,0,0,0,0,0,0
0.104276,243,165,0,0,-1,511.56,0,0,0,0,0,0,0,0,0
0.106005,243,165,0,0,-1,590.437,0,0,0,0,0,0,0,0,0
0.107729,243,165,0,0,-1,574.321,0,0,0,0,0,0,0,0,0
0.109473,243,165,0,0,-1,588.454,0,0,0,0,0,0,0,0,0
0.111316,243,165,0,0,-1,568.262,0,0,0,0,0,0,0,0,0
0.113016,243,165,0,0,-1,565.186,0,0,0,0,0,0,0,0,0
0.114879,243,165,0,0,-1,548.28,0,0,0,0,0,0,0,0,0
0.116519,243,165,0,0,-1,594.988,0,0,0,0,0,0,0,0,0
0.118356,243,165,0,0,-1,561.968,0,0,0,0,0,0,0,0,0
0.120121,243,165,0,0,-1,547.986,0,0,0,0,0,0,0,0,0
0.121909,243,165,0,0,-1,566.727,0,0,0,0,0,0,0,0,0
0.123607,243,165,0,0,-1,570.967,0,0,0,0,0,0,0,0,0
0.125425,243,165,0,0,-1,566.424,0,0,0,0,0,0,0,0,0
